card_name,collector_num,colors,rarity,desired_qty,owned,qty_owned
"Akroma, Angel of Wrath",1,['W'],rare,1,N,0
Akroma's Devoted,2,['W'],uncommon,3,N,0
Aven Redeemer,3,['W'],common,4,N,0
Aven Warhawk,4,['W'],uncommon,3,N,0
Beacon of Destiny,5,['W'],rare,1,N,0
Celestial Gatekeeper,6,['W'],rare,1,N,0
Cloudreach Cavalry,7,['W'],uncommon,3,N,0
Daru Mender,8,['W'],uncommon,3,N,0
Daru Sanctifier,9,['W'],common,4,N,0
Daru Stinger,10,['W'],common,4,N,0
Defender of the Order,11,['W'],rare,1,N,0
Deftblade Elite,12,['W'],common,4,N,0
Essence Sliver,13,['W'],rare,1,N,0
Gempalm Avenger,14,['W'],common,4,N,0
Glowrider,15,['W'],rare,1,N,0
Liege of the Axe,16,['W'],uncommon,3,N,0
Lowland Tracker,17,['W'],common,4,N,0
Planar Guide,18,['W'],rare,1,N,0
Plated Sliver,19,['W'],common,4,N,0
Starlight Invoker,20,['W'],common,4,N,0
Stoic Champion,21,['W'],uncommon,3,N,0
Sunstrike Legionnaire,22,['W'],rare,1,N,0
Swooping Talon,23,['W'],uncommon,3,N,0
Wall of Hope,24,['W'],common,4,N,0
Ward Sliver,25,['W'],uncommon,3,N,0
Whipgrass Entangler,26,['W'],common,4,N,0
White Knight,27,['W'],uncommon,3,N,0
Windborn Muse,28,['W'],rare,1,N,0
Wingbeat Warrior,29,['W'],common,4,N,0
Aven Envoy,30,['U'],common,4,N,0
Cephalid Pathmage,31,['U'],common,4,N,0
Chromeshell Crab,32,['U'],rare,1,N,0
Covert Operative,33,['U'],common,4,N,0
Crookclaw Elder,34,['U'],uncommon,3,N,0
Dermoplasm,35,['U'],rare,1,N,0
Dreamborn Muse,36,['U'],rare,1,N,0
Echo Tracer,37,['U'],common,4,N,0
Fugitive Wizard,38,['U'],common,4,N,0
Gempalm Sorcerer,39,['U'],uncommon,3,N,0
Glintwing Invoker,40,['U'],common,4,N,0
Keeneye Aven,41,['U'],common,4,N,0
Keeper of the Nine Gales,42,['U'],rare,1,N,0
Master of the Veil,43,['U'],uncommon,3,N,0
Merchant of Secrets,44,['U'],common,4,N,0
Mistform Seaswift,45,['U'],common,4,N,0
Mistform Sliver,46,['U'],common,4,N,0
Mistform Ultimus,47,['U'],rare,1,N,0
Mistform Wakecaster,48,['U'],uncommon,3,N,0
Primoc Escapee,49,['U'],uncommon,3,N,0
Riptide Director,50,['U'],rare,1,N,0
Riptide Mangler,51,['U'],rare,1,N,0
Shifting Sliver,52,['U'],uncommon,3,N,0
Synapse Sliver,53,['U'],rare,1,N,0
Voidmage Apprentice,54,['U'],common,4,N,0
Wall of Deceit,55,['U'],uncommon,3,N,0
Warped Researcher,56,['U'],uncommon,3,N,0
