card_name,collector_num,colors,rarity,desired_qty,owned,qty_owned
Ageless Sentinels,1,['W'],rare,1,N,0
Astral Steel,2,['W'],common,4,N,0
Aven Farseer,3,['W'],common,4,N,0
Aven Liberator,4,['W'],common,4,N,0
Daru Spiritualist,5,['W'],common,4,N,0
Daru Warchief,6,['W'],uncommon,3,N,0
Dawn Elemental,7,['W'],rare,1,N,0
Decree of Justice,8,['W'],rare,1,N,0
Dimensional Breach,9,['W'],rare,1,N,0
Dragon Scales,10,['W'],common,4,N,0
Dragonstalker,11,['W'],uncommon,3,N,0
Eternal Dragon,12,['W'],rare,1,N,0
Exiled Doomsayer,13,['W'],rare,1,N,0
Force Bubble,14,['W'],rare,1,N,0
Frontline Strategist,15,['W'],common,4,N,0
Gilded Light,16,['W'],uncommon,3,N,0
Guilty Conscience,17,['W'],common,4,N,0
Karona's Zealot,18,['W'],uncommon,3,N,0
Noble Templar,19,['W'],common,4,N,0
Rain of Blades,20,['W'],uncommon,3,N,0
Recuperate,21,['W'],common,4,N,0
Reward the Faithful,22,['W'],uncommon,3,N,0
Silver Knight,23,['W'],uncommon,3,N,0
Trap Digger,24,['W'],rare,1,N,0
Wing Shards,25,['W'],uncommon,3,N,0
Wipe Clean,26,['W'],common,4,N,0
Zealous Inquisitor,27,['W'],common,4,N,0
Aphetto Runecaster,28,['U'],uncommon,3,N,0
Brain Freeze,29,['U'],uncommon,3,N,0
Coast Watcher,30,['U'],common,4,N,0
Day of the Dragons,31,['U'],rare,1,N,0
Decree of Silence,32,['U'],rare,1,N,0
Dispersal Shield,33,['U'],common,4,N,0
Dragon Wings,34,['U'],common,4,N,0
Faces of the Past,35,['U'],rare,1,N,0
Frozen Solid,36,['U'],common,4,N,0
Hindering Touch,37,['U'],common,4,N,0
Long-Term Plans,38,['U'],uncommon,3,N,0
Mercurial Kite,39,['U'],common,4,N,0
Metamorphose,40,['U'],uncommon,3,N,0
Mind's Desire,41,['U'],rare,1,N,0
Mischievous Quanar,42,['U'],rare,1,N,0
Mistform Warchief,43,['U'],uncommon,3,N,0
Parallel Thoughts,44,['U'],rare,1,N,0
Pemmin's Aura,45,['U'],uncommon,3,N,0
Raven Guild Initiate,46,['U'],common,4,N,0
Raven Guild Master,47,['U'],rare,1,N,0
Riptide Survivor,48,['U'],uncommon,3,N,0
Rush of Knowledge,49,['U'],common,4,N,0
Scornful Egotist,50,['U'],common,4,N,0
Shoreline Ranger,51,['U'],common,4,N,0
Stifle,52,['U'],rare,1,N,0
Temporal Fissure,53,['U'],common,4,N,0
Thundercloud Elemental,54,['U'],uncommon,3,N,0
Bladewing's Thrall,55,['B'],uncommon,3,N,0
Cabal Conditioning,56,['B'],rare,1,N,0
Cabal Interrogator,57,['B'],uncommon,3,N,0
Call to the Grave,58,['B'],rare,1,N,0
Carrion Feeder,59,['B'],common,4,N,0
Chill Haunting,60,['B'],uncommon,3,N,0
Clutch of Undeath,61,['B'],common,4,N,0
Consumptive Goo,62,['B'],rare,1,N,0
Death's-Head Buzzard,63,['B'],common,4,N,0
Decree of Pain,64,['B'],rare,1,N,0
Dragon Shadow,65,['B'],common,4,N,0
Fatal Mutation,66,['B'],uncommon,3,N,0
